id,coaster_name,Location,Continent,Country
43FO67,Intimidator 305,Kings Dominion,North America,United States
78MR46,InvadR,Busch Gardens Williamsburg,North America,United States
22ME27,Invertigo ,California's Great America,North America,United States
98PD39,Invertigo ,Carowinds,North America,United States
46LN92,Invertigo ,Dorney Park & Wildwater Kingdom,North America,United States
70WE40,Invertigo ,Kings Island,North America,United States
10WE32,Iron Dragon ,Cedar Point,North America,United States
24FG35,Iron Gwazi,Busch Gardens Tampa Bay,North America,United States
52QT20,Iron Rattler,Six Flags Fiesta Texas,North America,United States
94DN90,Iron Shark,Galveston Island Historic Pleasure Pier,North America,United States
94JH57,Iron Wolf ,Six Flags Great America,North America,United States
80KX84,ISpeed,Mirabilandia,Europe,Italy
78NQ97,Italian Job: Stunt Track ,Canada's Wonderland,North America,Canada
60KR94,Italian Job: Stunt Track ,Kings Island,North America,United States
49YA20,Italian Job: Turbo Coaster,Kings Dominion,North America,United States
20ET29,Jack Rabbit ,Celebration City,North America,United States
93TY41,Jack Rabbit ,Clementon Park,North America,United States
58SL39,Jack Rabbit ,Kennywood,North America,United States
14WD54,Jack Rabbit ,Seabreeze Amusement Park,North America,United States
86YL96,Jaguar!,Knott's Berry Farm,North America,United States
11NQ49,Jazz Railway,Rocky Glen Park,North America,United States
71IB87,Jersey Devil Coaster,Six Flags Great Adventure,North America,United States
47XN18,Jet Rescue,Sea World (Australia),Oceania,Australia
13NK80,Jet Star ,Casino Pier,North America,United States
34TJ58,Jet Star ,Luna Park,North America,United States
43LQ63,Jet Star 2 ,Lagoon Amusement Park,North America,United States
93XQ30,Jetline,Gröna Lund,Europe,Sweden
95ZB37,Jetstream ,Riverview Park,North America,United States
82QV38,Jimmy Neutron's Atomic Flyer,Movie Park Germany,Europe,Germany
84IT55,Joris en de Draak,Efteling,Europe,Netherlands
25GP42,Journey to Atlantis,SeaWorld Orlando,North America,United States
71IJ81,Journey to Atlantis,SeaWorld San Antonio,North America,United States
97KK95,Journey to Atlantis,SeaWorld San Diego,North America,United States
44DJ51,Jubilee Odyssey,Fantasy Island (UK amusement park),Europe,United Kingdom
29GX48,Judge Roy Scream,Six Flags Over Texas,North America,United States
82RD20,Jumbo Jet ,Cedar Point,North America,United States
41AE43,Jumbo Jet ,Chelyuskintsev Park,Europe,Belarus
37LG60,Jumbo Jet ,Morey's Piers,North America,United States
81CW78,Jungle Racing,Happy Valley Beijing,Asia,China
17ZW72,Junker ,PowerPark,Europe,Finland
